Blast injury from explosive munitions.	To evaluate the effect of blast in common war injuries.
The level of thromboxane A2 and prostacyclin in patients with chronic kidney failure undergoing hemodialysis]	Overall 14 patients with chronic renal failure treated by hemodialysis were examined. The content of the key metabolites of the arachidonic cascade thromboxane B2, 6-keto-prostaglandin F1 alpha and 12-hydroxyeicosatetraene acid (12-HETE) in blood plasma was reduced in the patients as compared to donors. By the end of hemodialysis, part of the patients showed a tendency towards its normalization, however, no complete recovery was practically recorded. Derangement of the formation of thromboxane A2, prostacyclin and 12-HETE in uremia is likely to be related to reverse inhibition of the function of platelet cyclooxygenase and lipoxygenase by plasma inhibitor. The recovery of the function can be attained after adequate hemodialysis.
Effect of dietary fish oil on plasma thromboxane B2 and 6-keto-prostaglandin F1 alpha levels in septic rats.	Increased mortality from sepsis is associated with high levels of thromboxane B2 (TXB2) and 6-keto-prostaglandin F1 alpha (PGF1 alpha). Linoleic acid, an n-6 essential fatty acid, is the usual precursor of TXB2 and PGF1 alpha, while fish oil is rich in n-3 essential fatty acid, the precursor of less active moieties. Rats were fed chow, an essential fatty acid-deficient diet, or an essential fatty acid-deficient diet supplemented with linoleic acid or fish oil for 2 weeks. The animals then underwent a sham operation or cecal ligation and puncture to induce sepsis. Six hours later, blood was obtained for analysis. The chow and linoleic acid diets produced significant (twofold to fivefold) increases in levels of both TXB2 and PGF1 alpha after sepsis. The essential fatty acid-deficient diet and fish oil diet protected against increases in levels of TXB2 or PGF1 alpha during sepsis. Dietary restriction of linoleic acid or fish oil supplementation may play an important role in altering the inflammatory mediator response to sepsis.
Immunological assay of substances of blood and vascular bed origin, and their future]	Recently in the clinical laboratories, many highly sensitive immunological measurements are performed using such techniques as radioimmunoassay, enzyme immunoassay, fluoroimmunoassay, and chemiluminescence immunoassay. However, the metabolic clearance rate of a very small amount of substance in the circulatory blood may participate intimately in its inactivation and/or trapping in a single passage through a certain organ. The difficulty of immunological assays for very small amounts of biologically active substances in blood and the possibility of developing an easier assay method are discussed.
24-hour time-dependent aspirin efficacy in patients with stable coronary artery disease.	Aspirin-induced cyclooxygenase (COX)-1 acetylation is irreversible and it is assumed that the platelet thromboxane-A2 aggregation pathway is inhibited for at least 24 hours (h) after aspirin ingestion. However, time course of biological efficacy of daily low-dose aspirin has rarely been assessed in patients with coronary artery disease (CAD). We aimed to assess the 24-h biological efficacy of daily low-dose aspirin in CAD patients. The peak and trough (2 h-24 h) effect of a chronic treatment with once daily dose aspirin were studied in 150 consecutive stable CAD patients. The main outcome measure was light transmission aggregometry (LTA) triggered with 0.5 mg/ml arachidonic acid (AA). In the last 47 consecutive patients, additional tests were conducted at 6, 12, 16, 20 h after last aspirin administration. 4.7% of the patients had significant aggregation (>20% maximal intensity LTA-AA) 2 h after aspirin ingestion and 24.7% at 24 h (p<0.0001). The more precise assessments in the last 47 patients showed that significant platelet aggregation progressively reappeared with time after aspirin intake (2 h--4% of patients, 6 h-- 4%, 12 h--11%, 16 h--16%, 20 h--19% and 24 h--28%). Concordant results were observed using production of thromboxane-B2 and other techniques evaluating AA-induced platelet aggregation/activation. No significant differences were found between lower (75-100 mg/day) and higher (>100 mg/day) dose aspirin. Such aspirin «resistance» at 24 h after ingestion was related to biological inflammatory markers, current smoking and diabetes. In conclusion, once daily aspirin does not provide stable 24-h antiplatelet protection in a significant proportion of CAD patients. Any biological assessment of aspirin efficacy should take time since last aspirin intake into consideration.
Anoxia-reoxygenation enhances platelet thromboxane A2 production via reactive oxygen species-generated NOX2: effect in patients undergoing elective percutaneous coronary intervention.	Platelets undergoing anoxia-reoxygenation (AR) simultaneously increase reactive oxygen species (ROS) and thromboxane (Tx) B(2). Our aim was to assess whether there is an interplay between activation of NOX2, the catalytic subunit of NADPH oxidase, and platelet TxB(2) in vitro and in vivo.
The proinflammatory mediator's production from ischemic brain during carotid endarterectomy.	The aim of the study was to determine the quantity of produced mediators of inflammation (cytokines and eicosanoids), during carotid endarterectomy (CEA), which are factors of ischemic damage of the brain.
Thromboxane A(2) generation, in the absence of platelet COX-1 activity, in patients with and without atherothrombotic myocardial infarction.	Aspirin's therapeutic action is via inhibition of platelet cyclooxygenase 1 (COX-1) thromboxane A2 (TxA2) production. The aim of this study was to evaluate TxA2 production, in the absence of platelet COX-1 activity, in coronary atherosclerotic heart disease patients with and without atherothrombotic myocardial infarction (MI).
The significance of natriuretic peptide in treatment of pulmonary hypertension after mitral valve replacement.	To compare the therapeutic efficacy of recombinant human brain natriuretic peptide and prostaglandin E1 in the treatment of pulmonary hypertension after mitral valve replacement.
The role of neural and vasoactive mediators in the regulation of the pulmonary circulation during cardiopulmonary preservation.	The autoperfused working heart-lung preparation has been used for extended cardiopulmonary preservation for transplantation. However, acute lung injury and failure of the preparation can result from pulmonary hypertension, which previous investigators have linked to denervation. We studied the neural and vasoactive mediators of pulmonary vasoconstriction during normothermic autoperfusion of the heart and lungs from 13 calves. Pulmonary vascular resistance was quantitated by multipoint pulmonary artery pressure/flow plots generated by incremental reduction in venous return at three times: A, after sternotomy but before autoperfusion (control); B, during in situ autoperfusion (innervated heart-lung preparation); and C, after explanation (denervated heart-lung preparation). During hemodynamic measurements, left atrial blood samples were obtained for measurement of thromboxane B2, 6-keto-prostaglandin-F1 alpha, and complement activation products C3a and C5a. Results show that pulmonary hypertension in the autoperfused working heart-lung preparation begins during autoperfusion before denervation and may be related to complement activation and to increased levels of circulating thromboxane B2 and 6-keto-prostaglandin F1 alpha (both the absolute levels and the ratio of thromboxane B2 to 6-keto-prostaglandin F1 alpha). After denervation, both prostaglandin intermediates were markedly increased, but their ratio was not significantly affected. These data suggest that there is an initial stage of pulmonary vasoconstriction at the onset of autoperfusion that is accompanied by increased circulating levels of vasoactive mediators and that denervation further contributes to this response.
Reduction in myocardial neutrophil accumulation and infarct size following administration of thromboxane inhibitor U-63,557A.	We examined the effects of a new selective thromboxane A2 (TXA2) synthetase inhibitor, U-63,557A, on myocardial infarct size 48 hours following left coronary ligation in rats. With a single 8 mg/kg dose of U-63,557A (furegrelate) administered prior to coronary ligation, platelet aggregation and serum TXA2 formation declined significantly (p less than 0.02) for up to 48 hours. Myocardial infarct size, as measured by planimetry of serial left ventricular sections, was decreased from 44 +/- 3% (saline-treated control rats) to 34 +/- 4% (p less than 0.05). Left ventricular creatine kinase (CK) following coronary ligation was also preserved in U-63,557A vs saline-treated control animals (p less than 0.05). These beneficial effects of U-63,557A were not accompanied by reduction in the indices of myocardial oxygen demand (heart rate and arterial pressure). Furthermore, neutrophil accumulation in the infarcted myocardium was significantly decreased by U-63,557A (26 +/- 6 vs 96 +/- 3/high-power field [p less than 0.01]). These data suggest that administration of a single dose of selective TXA2 synthetase inhibitor prior to coronary ligation modulates platelet function for up to 48 hours and reduces the extent of myocardial injury, which may, in part, relate to decrease in neutrophil accumulation.
Prostaglandins, leukotrienes, and platelet-activating factor in shock.	Three major lines of evidence support a role of eicosanoids and PAF in shock. Formation of each of the cyclooxygenase metabolites of arachidonate is enhanced at some point during the shock; these metabolites include PGE2, PGF2 alpha, PGI2, and TXA2. Enhanced formation of 5-HETE and the cysteinyl-LTs provides evidence for activation of the 5-lipoxygenase pathway of arachidonate metabolism, and preliminary biochemical evidence suggests that formation of PAF in anaphylactic and endotoxic shock is also enhanced. Second, TXA2, cysteinyl-leukotrienes, and, to an even greater extent, PAF are able to produce shock and death in intact animals. Third, pharmacological studies show that selective antagonists or synthesis inhibitors modify the course of the shock. While any of these lines of evidence may not by itself provide proof for a cause-effect relationship, the data taken together strongly suggest that vasoactive lipids might be involved in fundamental processes in the pathophysiology of shock. However, the role of vasoactive lipids might vary in different shock paradigms, change at various time points during the evolution of the shock, and depend on the species studied. Moreover, while the majority of the reports tend to focus on a specific substance, the metabolism of all of the eicosanoids mentioned, as well as PAF and probably other arachidonate metabolites (e.g. 15-lipoxygenase products such as lipoxins), changes during shock states. This fact probably causes most of the discrepancies in studies using specific antagonists or synthesis inhibitors to modify the state of shock. Thus, while blockade of one mediator might provide some protection, it might not be sufficient to halt or reverse the main course of the pathophysiological process. For example, the increase in vascular permeability, a fundamental phenomenon in trauma, anaphylaxis, or endotoxemia, might be mediated by PAF, LTs, PGs, peptides (e.g. kinins, substance P, CGRP) and amines (e.g. histamine in some species). Attempting to reverse such a complex phenomenon by blocking one specific factor might not be productive unless the specific substance played a key role in generation of the other factors. It seems, however, that while interactions between PGs, LTs, and PAF do occur (31, 32, 70), none of the shock states are crucially dependent on one class of the vasoactive lipids. Therefore, the therapeutic strategy should be based on multiple sites of action, either by drug combinations or multiple actions of a specific drug.(ABSTRACT TRUNCATED AT 400 WORDS)
Signal transduction in collagen-stimulated rat platelets is composed of three stages.	A stable thromboxane A2 (TXA2) mimetic, U46619, induced a shape change of rat platelets, but did not induce phosphoinositide breakdown, aggregation or secretion. However, when U46619 was added to platelets which had been previously stimulated with collagen in the presence of indomethacin, all biological responses were induced about 1 min after the occurrence of shape change. Furthermore, two phases of phosphorylation of myosin light chain (MLC) were observed under the same conditions, one coinciding with shape change and the other with aggregation. Similar two-phase Ca2+ mobilization has been observed using aequorin (Nakano, T., Terawaki, A., & Arita, H. (1986) J. Biochem. 99, 1285-1288). From these results, collagen-induced signal transduction is considered to be composed of three stages. The first stage is the initial TXA2 generation. The second stage involves inositol trisphosphate-independent first-phase Ca2+ mobilization and the first-phase MLC phosphorylation by the action of TXA2 alone, leading to the shape change of platelets. The third stage is initiated by an abrupt phosphoinositide breakdown via the synergistic action of TXA2 and occupation of the collagen receptor, and the resulting inositol trisphosphate may induce the second-phase Ca2+ mobilization to produce the second-phase MLC phosphorylation together with aggregation and secretion.
Effect of SC 38249, a novel substituted imidazole, on platelet aggregation in vitro and in vivo.	SC 38249 [RS)-1-(2,3-bis-[(4-methoxyphenyl)methoxy]propyl)-1H-imidazole) caused dose-related inhibition of collagen-induced thromboxane A2 formation in human platelet rich plasma (IC50: 9.9 +/- 1.0 microM) accompanied by a dose-dependent increase in plasma PGE2. Broad inhibitory activity was evident against human platelet aggregatory and secretory responses in vitro. IC50 values of 11.9 +/- 1.9 microM (0.64 mM arachidonic acid), 18.3 +/- 3.8 microM (0.5 microgram ml-1 collagen) and 37.6 +/- 6.1 microM (25 nM Paf-acether) were obtained against maximum increase in PRP light transmission achieved by each agonist. Although less potent, SC 38249 retained significant inhibitory activity against PRP responses induced by a higher (3.0 micrograms ml-1) concentration of collagen (IC50: 272.5 +/- 24.6 microM), and against Paf-acether-induced responses in PRP pre-treated with 10 microM indomethacin (I.C.50: 192.0 +/- 16.1 microM). Experimental animal studies confirmed the in vitro anti-aggregatory efficacy of SC 38249, since significant inhibitory activity was observed against Paf-acether and ADP-induced responses in dog PRP ex vivo, anti-Forssman antibody-induced thrombocytopenia in anaesthetized guinea pigs, and collagen-induced intravascular aggregation in anaesthetized rabbits. Thus, SC 38249 is a novel thromboxane synthase inhibitor which possesses interesting anti-aggregatory properties which cannot wholly be attributed to prevention of platelet thromboxane A2 formation.
Assessment of prostacyclin and thromboxane A2 release during reperfusion after global ischemia induced by crystalloid cardioplegia--comparison between warm and cold ischemia.	The metabolites of prostacyclin (PGI2) and thromboxane A2 (TxA2), 6-keto-PGF1 alpha and thromboxane B2 (TxB2), were investigated during reperfusion (RP) following warm (37 degrees C, 60 min, n = 9) or cold (15 degrees C, 120 min, n = 11) ischemia induced by cold (4 degrees C) or normothermic (30 degrees C) K+ cardioplegia (CP) in isolated canine hearts subjected to global ischemia and RP. 6-Keto-PGF1 alpha flux was significantly higher (p less than 0.025) in the warm group at 1, 5, and 10 min of RP (4,202 +/- 1,412, 2,475 +/- 1,875, and 1,255 +/- 633 pg/g.min, mean +/- SD) compared to those in the cold group (1,504 +/- 1,245, 434 +/- 641, and 370 +/- 329 pg/g.min). TxB2 flux was small in amount compared to 6-keto-PGF1 alpha in both groups. Regarding the coronary hemodynamics, the cold group alone showed statistically significant relationships of coronary sinus blood flow to TxB2 level and TxB2/6-keto-PGF1 alpha ratio in coronary sinus blood. Also, coronary vascular resistance showed linear relations to these two parameters of the metabolites. In a supplementary experiment only with cold ischemia for 180 min, 6-keto-PGF1 alpha was released at each coronary flush-out by CP and the incremental amount showed a gradual increase during ischemia. These results indicated that significant production and release of PGI2 occurred during ischemia and RP following CP arrest and these related to the degree of myocardial damage while the response of TxA2 seemed less significant. The role of PGI2 release during RP following cardioplegic arrest was discussed.
Intestinal prostacyclin and thromboxane production in irreversible hemorrhagic shock.	Arterial and intestinal venous blood were sampled every hour for measurement of thromboxane B2 (TXB2) and 6-keto-PGF1 alpha, stable metabolites of thromboxane A2 and prostacyclin, respectively, in dogs subjected to hemorrhagic hypotension at 32.8 +/- 1.4 mm Hg for 3 h, followed by reinfusion of the remaining shed blood. Control dogs were treated alike without hypotension. Arterial and intestinal venous TXB2 significantly increased during hypotensive and post-transfusion periods, the venous concentration being significantly higher than the corresponding arterial. The arterial and venous 6-keto-PGF1 alpha increased during hypotension but decreased during post-transfusion periods. Furthermore, arterial and venous TXB2 to 6-keto-PGF1 alpha concentration ratio increased. Intestinal TXB2 release (blood flow X arteriovenous concentration difference) increased progressively, whereas 6-keto-PGF1 alpha release decreased. No significant changes occurred in the control dogs. This study shows an imbalance in intestinal production and release of TXA2 and PGI2, in favor of TXA2 during severe hemorrhagic hypotension and after blood transfusion. The imbalance may contribute to the development of irreversible hemorrhagic shock and reperfusion injury.
Adrenaline-induced hyperaggregability of platelets and enhanced thromboxane release in anorexia nervosa.	Platelet aggregation and thromboxane A2 release in response to adrenaline and the relationship of this response to body weight was investigated in female patients with anorexia nervosa. Platelets obtained from patients with body weights below 75% of the expected average weight (Group I) showed significantly greater aggregation and TXA2 release in response to adrenaline when compared with controls matched for sex and age. Patients with body weights 75-95% of the expected average weight (Group II) did not show enhancement of platelet aggregation or TXA2 release. In Group I patients, platelet hyperaggregability and enhanced TXA2 release induced by adrenaline tended to normalise following inpatient treatment and weight gain: with 0.5 mumol/l adrenaline, the pre-weight gain median aggregation was 65%, whereas the post-weight gain value was 37% - P less than 0.01. Markedly underweight patients also had hyperaggregability following stimulation with ADP and collagen. This hyperaggregability also tended to normalise after weight gain but these changes were not statistically significant. Platelet hyperaggregability (especially in response to adrenaline) in anorexia nervosa is therefore secondary to weight loss and reverts to normal with normalisation of weight. These changes may reflect the previously documented increase in platelet alpha-adrenoceptors in thin patients with anorexia nervosa and their normalisation following weight gain. However, the hyperaggregability in response to agonists other than adrenaline suggests that an additional post-receptor mechanism may be involved.
Stimulation of aggregation and thromboxane A2 formation of human platelets by hypoxia.	The influence of hypoxia on the spontaneous platelet aggregation (SPA) and thromboxane formation was studied. The analysis of aggregation curve was carried out according to Breddin. The hypoxia enhanced the aggregability from Q2norm = 2.46 +/- 0.40 (normoxia) to Q2hyp = 4.39 +/- 0.39 (hypoxia), n = 52, p less than 0.001. 10 samples of those showed no SPA under equilibration with air but the hypoxic stimulus provoked SPA (Q2norm = 0, Q2hyp = 1.19 +/- 60, n = 10, p less than 0.001). When the results were arranged according to the degree of the stimulation of SPA, two groups could be separated with low and high response to hypoxia. The hypoxia caused also an augmentation of the TXB2 level in comparison to normoxia. The stronger enhancement of the TXB2 formation during the incubation under hypoxic conditions was independent of the fact whether SPA took place or not. The present study suggests that hypoxic conditions alone may be a reason for a stimulated TXA2 formation of the platelets and that the enhanced TXA2 formation caused by hypoxia is possibly inducing or reinforcing the SPA.
