The course of maturation of rod-mediated visual thresholds in infants.	To measure the developmental course of infants' rod-mediated thresholds.
Effect of strength and timing of transmembrane current pulses on isolated ventricular myocytes.	Little is known about how the amplitude and timing of transmembrane current pulses affect transmembrane potential (Vm) and action potential duration (APD) in isolated myocytes.
Excitation of a cardiac muscle fiber by extracellularly applied sinusoidal current.	The goal of this study was to examine the effect of AC currents on a cardiac fiber. The study is the second in a series of two articles devoted to the subject. The initial study demonstrated that low-strength sinusoidal currents can cause hemodynamic collapse without inducing ventricular fibrillation. The present modeling study examines possible electrophysiologic mechanisms leading to such hemodynamic collapse.
H reflex restitution and facilitation after different types of peripheral nerve injury and repair.	This study addresses the restitution of monosynaptic H reflex after nerve injuries and their role in the recovery of walking. Adult rats were submitted to sciatic crush, complete section repaired by aligned or crossed fascicular suture, or an 8-mm resection repaired by autograft or tube repair. The sciatic nerve was stimulated proximal to the injury site and the M and H waves were recorded from gastrocnemius (GCm) and plantar (PLm) muscles at monthly intervals during 3 months postoperation. Walking track tests were also carried out and the sciatic functional index (SFI) calculated to assess gait recovery. The M and H waves reappeared in all the animals at the end of the follow-up. The H/M amplitude ratio increased during the first stages of regeneration and tended to decrease to control values as muscle reinnervation progressed. However, final values of the H/M ratio for the PLm remained significantly higher in all the groups except that with a nerve crush. The walking track pattern showed an appreciable recovery only after crush injury. Final SFI values correlated positively with the M wave amplitude and negatively with the H/M ratio. In conclusion, H reflex is facilitated after peripheral nerve injury and regeneration and tends to return to normal excitability with time. Changes in the H reflex circuitry and excitability correlated positively with the deficient recovery of walking pattern after severe nerve injury.
Detection and discrimination of chromatic targets in hemianopic macaque monkeys and humans.	We measured the ability of three macaque monkeys with unilateral removal of primary visual cortex to detect 9 degrees, 200-ms targets presented at random in the upper or lower quadrants of the normal and hemianopic visual fields. The white or variously coloured target could differ from the background in both colour and luminance, or in either of them. Blue and red targets were detectable at any luminance contrast, but green and white targets were barely or not at all detectable at and near isoluminance in the hemianopic field. Blue and red targets were better detected than white targets at the same luminance difference. However, when both the target and the background were dynamically luminance-masked, detection in the hemianopic field failed at isoluminance whatever the colour. In addition, the monkeys were unable to discriminate between simultaneously presented red and green or blue and green targets in the hemianopic field when both targets had similar luminance contrast with the background. Two hemianopic patients tested on a subset of the tasks performed similarly to the monkeys. Together, the results indicate that the residual colour-opponent system that survives damage to V1 is involved in the detection of chromatic changes but cannot sustain simultaneous discrimination between pairs of colours.
Stereoacuity thresholds in the presence of a reference surface.	With isolated binocular targets, the best depth discrimination is found in the fixation plane (Blakemore, C., Journal of Physiology 211 (1970) 599). More recent studies have suggested that stereoscopic thresholds are not always a simple function of absolute disparity, but depend on the relative disparities in the stimulus. Here, we explored the effects of relative disparity in more detail, taking particular care to control for the possibility that subjects might change their binocular eye position or exploit monocular information provided by additional reference cues. Subjects judged the depth of a vertical target line presented above a comparison line in a blank window within a fronto-parallel reference surface composed of randomly positioned dots. On individual trials, the reference surface was presented at one of three disparities (-10, 0 and +10 arc min). To control for changes in binocular eye position, exposure duration was 150 ms, and experimental conditions with different disparities of the reference surface and comparison line were randomly interleaved. To control for monocular cues, changes in threshold were determined with respect to a disparity noise condition that was in all ways identical to the reference plane condition, except that the disparities of the dots were randomly assigned between 10 and +10 arc min. Stereo-thresholds were lowered by a factor of about 2 when the surface was at the same depth as the comparison line. Thresholds were also lowered when the comparison disparity was close to the same depth as the reference surface, but were often raised when the comparison disparity had the opposite disparity sign. These results provide unequivocal evidence that the fundamental sensitivity of the disparity detecting system can be influenced by relative disparity cues that are not related to the task.
Synchronization of the neural response to noisy periodic synaptic input.	The timing information contained in the response of a neuron to noisy periodic synaptic input is analyzed for the leaky integrate-and-fire neural model. We address the question of the relationship between the timing of the synaptic inputs and the output spikes. This requires an analysis of the interspike interval distribution of the output spikes, which is obtained in the gaussian approximation. The conditional output spike density in response to noisy periodic input is evaluated as a function of the initial phase of the inputs. This enables the phase transition matrix to be calculated, which relates the phase at which the output spike is generated to the initial phase of the inputs. The interspike interval histogram and the period histogram for the neural response to ongoing periodic input are then evaluated by using the leading eigenvector of this phase transition matrix. The synchronization index of the output spikes is found to increase sharply as the inputs become synchronized. This enhancement of synchronization is most pronounced for large numbers of inputs and lower frequencies of modulation and also for rates of input near the critical input rate. However, the mutual information between the input phase of the stimulus and the timing of output spikes is found to decrease at low input rates as the number of inputs increases. The results show close agreement with those obtained from numerical simulations for large numbers of inputs.
A threshold explains modulation of neural responses to opposite-contrast stereograms.	Disparity-sensitive neurons respond to contrast-inverted stereograms (aRDS) that do not evoke depth percepts. This is in conflict with the idea that such neurons are the direct correlate of depth perception. However, the output of neurons responding to aRDS may be further processed: neurons at later processing stages show weaker responses to aRDS than early stage neurons. Here, we show that such a response hierarchy emerges in a three-layered neural network. A numerical analysis demonstrates that threshold operations can largely explain the network's behavior as well as the electrophysiological data. An extension of the energy neuron model for disparity-sensitive neurons predicts increased responses to aRDS for an identifiable sub-class of cells and can thus be tested in electrophysiological experiments.
Differential changes in human pharyngoesophageal motor excitability induced by swallowing, pharyngeal stimulation, and anesthesia.	We investigated the effects of water swallowing, pharyngeal stimulation, and oropharyngeal anesthesia on corticobulbar and craniobulbar projections to human swallowing musculature. Changes in pathway excitability were measured via electromyography from swallowed intraluminal pharyngeal and esophageal electrodes to motor cerebral and trigeminal nerve magnetic stimulation. After both water swallowing and pharyngeal stimulation, pharyngoesophageal corticobulbar excitability increased (swallowing: pharynx = 59 +/- 12%, P < 0.001; esophagus = 45 +/- 20%, P < 0.05; pharyngeal stimulation: pharynx = 76 +/- 19%, P < 0.001; esophagus = 45 +/- 23%, P = 0.05), being early with swallowing but late with stimulation. By comparison, craniobulbar excitability increased early after swallowing but remained unaffected by pharyngeal stimulation. After anesthesia, both corticobulbar (pharynx =-24 +/- 10%, P < 0.05; esophagus = -28 +/- 7%, P < 0.01) and craniobulbar excitability showed a late decrease. Thus swallowing induces transient early facilitation of corticobulbar and craniobulbar projections, whereas electrical stimulation promotes delayed facilitation mainly in cortex. With removal of input, both corticobulbar and craniobulbar projections show delayed inhibition, implying a reduction in motoneuron and/or cortical activity.
Neither arm nor face warming reduces the shivering threshold in unanesthetized humans.	Hand warming and face warming, combined with inhalation of heated air, are reported to suppress shivering. However, hand or face temperature contributes only a few percent to control of shivering. Thus, it seems unlikely that manipulating hand or facial skin temperature alone would be sufficient to permit induction of therapeutic hypothermia. We tested the hypothesis that focal arm (forearm and hand) warming or lower facial warming, combined with inhalation of heated and humidified gas, only minimally reduces the shivering threshold (triggering core temperature).
Quantitative sensory testing.	Quantitative sensory testing is a reliable way of assessing large and small sensory nerve fiber function. Sensory deficits may be quantified and the data used in parametric statistical analysis in research studies and drug trials. It is an important addition to the neurophysiologic armamentarium, because conventional sensory nerve conduction tests only the large fibers. QST is a psychophysical test and lacks the objectivity of NCS. The results are subject to changes owing to distraction, boredom, mental fatigue, drowsiness, or confusion. When patients are consciously or unconsciously biased toward an abnormal QST result, no psychophysical testing can reliably distinguish these patients from those with organic disease. QST tests the integrity of the entire sensory neuraxis and is of no localizing value. Dysfunction of the peripheral nerves or central nervous system may give rise to abnormalities in QST. As is true for other neurophysiologic tests, QST results should always be interpreted in light of the patient's clinical presentation. Quantitative sensory testing has been shown to be reasonably reproducible over a period of days or weeks in normal subjects. Because longitudinal QST studies of patients in drug trials are usually performed over a period of several months to a few years, reproducibility studies on the placebo-control group should be included. For individual patients, more studies are needed to determine the maximum allowable difference between two QSTs that can be attributed to experimental error. The reproducibility of thermal thresholds may not be as good as that of vibration threshold. Different commercially available QST instruments have different specifications (thermode size, stimulus characteristics), testing protocols, algorithms, and normal values. Only QST instruments and their corresponding methodologies that have been shown to be reproducible should be used for research and patient care. The data in the literature do not allow conclusions regarding the superiority of any QST instruments. The future of QST is promising; however, many factors can affect QST results. As is true for other neurophysiologic tests, QST is susceptible to many extraneous factors and to misuse when not properly interpreted by the clinician.
Inclusion body myositis--sensory dysfunction revealed with quantitative determination of somatosensory thresholds.	In order to evaluate sensory function in inclusion body myositis (IBM), nine patients were subjected to sensibility screening and quantitative determination of somatosensory thresholds. Data were compared with results from electrophysiological examination and muscle biopsy. On sensibility screening all but one of the IBM patients had abnormal findings in hands and/or feet mostly affecting thermal sensibility. Vibratory thresholds were abnormal in five and thermal thresholds in four of the patients. Mean vibratory thresholds were significantly (P < 0.05) higher in the IBM patients when compared with the controls. Significantly increased heat pain thresholds were found in hands and feet when compared with the controls while thermal thresholds were normal. Nerve conduction velocities were decreased in three patients, EMG showed both myopathic and neuropathic abnormalities in six patients. Eight patients had neuropathic abnormalities on muscle biopsy. The sensory dysfunction found suggests an affection of peripheral nerves in IBM mainly affecting large diameter myelinated nerve fibres corroborating earlier findings of a peripheral neuropathy in IBM.
Reliability and validity of ankle proprioceptive measures.	To determine the reliability and validity of ankle proprioceptive measures.
A study of the relative responsiveness of five sensibility tests for assessment of recovery after median nerve injury and repair.	A longitudinal dynamic cohort study was conducted on patients with median nerve injuries to evaluate the relative responsiveness of five sensibility tests: touch threshold using the WEST (monofilaments), static two-point discrimination, locognosia, a pick-up test and an object recognition test. Repeated assessments were performed starting at 6 months after surgery. In order to compare the relative responsiveness of each test, effect size and the standard response mean were calculated for sensibility changes occurring between 6 and 18 months after repair. Large effect sizes (>0.8) and standard response means (>0.8) were obtained for the WEST, locognosia, pick-up and object recognition tests. Two-point discrimination was hardly measurable at any time point and exhibited strong flooring effects. Further analysis of all time points was undertaken to assess the strength of the monotonic relationship between test scores and time elapsed since surgery. Comparison of monotonicity between the five tests indicated that the WEST performed best, whereas two-point discrimination performed worst. These results suggest that the monofilament test (WEST), locognosia test, Moberg pick-up test and tactile gnosis test capture sensibility changes over time well and should be considered for inclusion in the outcome assessment of patients with median nerve injury.
Normal intracortical excitability in developmental stuttering.	Persistent developmental stuttering (PDS) shares clinical features with task-specific dystonias. In these dystonias, intracortical inhibition is abnormally weak. We therefore sought to determine intracortical inhibition and intracortical facilitation in PDS. In 18 subjects with PDS since childhood (mean age, 39.4 [SD 13.0] years) and 18 speech-fluent controls (43.6 [14.3] years), we investigated resting and active motor thresholds as well as intracortical inhibition and facilitation of the optimal representation of the abductor digiti minimi of the dominant hand using transcranial magnetic stimulation. In PDS, the resting and active motor thresholds were increased, whereas intracortical inhibition and facilitation were normal. Normal intracortical excitability makes a pathophysiological analogy between focal dystonia and PDS less likely. The enhanced motor threshold suggests reduced motor cortical neuronal membrane excitability in PDS.
Master scaling of perceived intensity of touch, cold and warmth.	A new approach is presented for scaling perceived intensity of touch, cold and warmth based on magnitude estimation. In this method named master scaling thenar is utilized as common reference area for scaling and calibrating perceived intensity. The master scaling is particularly well suited for clinical applications in which the stimulation in pain-affected body areas creates a complex perception (e.g., paradoxical heat for cold stimulation) and/or aberrant psychophysical functions for perceived intensity. The results from three different experiments showed that: (a) All patients and healthy subjects were able to scale adequately the perceived intensity of touch, cold, and warmth at unaffected body areas. (b) Thenar stimulations were shown to be adequate common references in the joint scaling of perceived intensity of other body areas in pain patients as well as healthy persons. (c) Individual thenar psychophysical functions can be used for screening patients and healthy persons with regard to their ability to scale perceived intensity of touch, cold and warmth. (d) Master scaled perceived intensity scales can be used for determining if various pain-unaffected body areas are normal or abnormal in patients and in healthy persons. (e) The interindividual variation in perceived intensity is considerably reduced after master scaling and approaches that of intraindividual variation as found in olfaction and hearing. Finally, empirically based thenar Master Functions of perceived intensity for touch, cold and warmth are proposed to be used in future sensory testing of patients, as well as of healthy persons.
Short term light deprivation increases tactile spatial acuity in humans.	The effect of short-term light deprivation on tactile spatial acuity was evaluated by asking 28 adult humans to perform a grating orientation task. The 14 subjects who were kept for 90 minutes in complete dark showed, immediately after deprivation, a reversible improvement of tactile spatial acuity. No acuity change was observed in the 14 nondeprived subjects. Results indicate that even a short-term visual deprivation may disclose highly dynamic plastic interactions between visual and tactile systems.
Olfactory function in workers exposed to styrene in the reinforced-plastics industry.	Impairment of olfactory function in humans has been associated with occupational exposure to volatile chemicals. To investigate whether exposure to styrene was associated with olfactory impairment, olfactory function was examined in workers with a minimum of 4 years exposure to styrene in the reinforced-plastics industry (current mean exposure: 26 ppm, range: 10-60 ppm; historic mean dose: 156 ppm-years, range: 13.8-328 ppm-years) and in a group of age- and gender-matched, unexposed controls.
Exposure assessment for study of olfactory function in workers exposed to styrene in the reinforced-plastics industry.	This study was undertaken in conjunction with an evaluation of the olfactory function of 52 persons exposed to styrene vapors to provide quantitative styrene exposure histories of each subject for use in the interpretation of the results of olfactory function testing.
Intracortical inhibition and facilitation are impaired in patients with early Parkinson's disease: a paired TMS study.	Twelve patients with early Parkinson's disease (PD), none of whom had received any previous L-DOPA treatment, but using other antiparkinsonian drugs, were studied using transcranial magnetic stimulation (TMS). Contralateral and ipsilateral hemispheres were examined, with a focus on the more pronounced parkinsonian symptoms. The conditioning-test TMS paradigm (with a subthreshold conditioning stimulus and a suprathreshold test stimulus) was used through a stimulating round coil. Paired stimuli of short (3, 5 and 7 ms), medium (10, 15 and 20 ms), and long (100, 150, 200 and 250 ms) interstimulus intervals (ISI) were pseudo-randomly mixed with a single stimulus. The first interosseus muscle was used for the motor-evoked potential recordings. Ten healthy subjects (age and sex matched) were studied in the same manner to obtain normative data. When both groups were compared, the significant difference (reduction of the intracortical inhibition and facilitation) between the PD patients and the control group was found at the short and the medium ISI (3, 5, 7, 10, 15 and 20 ms) in both hemispheres (P < 0.05). The longer ISI produced non-significant differences between the two groups in intracortical excitability. There was a non-significant difference in the motor threshold. In conclusion, it can be supposed that both intracortical inhibition and facilitation are impaired in patients with early PD using other antiparkinsonian treatments than L-DOPA or dopamine agonists.
Cold transduction in rat trigeminal ganglia neurons in vitro.	Three sub-populations of sensory neurons may be distinguished based on responses to a decrease in temperature: one has a relatively low threshold for activation (cool fibers), a second has a high threshold for activation (cold nociceptors), and the third is unresponsive to a decrease in temperature. Results from several recent studies suggest that the ability to detect a decrease in temperature reflects an intrinsic property(ies) of sensory neurons and therefore may be characterized via the study of the sensory neuron cell body in vitro. However, while three unique ionic mechanisms of cold transduction have recently been identified (i.e. activation of the transient receptor potential channel M8 [TRPM8] or an epithelial Na(+) channel [ENaC] or inhibition of two pore K(+) channel [TREK-1]), the possibility that these "mechanisms" may be differentially distributed among sensory neurons in a manner consistent with predictions based on in vivo observations has not been investigated. To investigate this possibility, we have characterized the influence of cooling on isolated trigeminal ganglion (TG) neurons from adult rats in vitro with Ca(2+) microfluorimetry in combination with a series of pharmacological interventions. We report that neurons responded to a decrease in temperature from approximately 34 degrees C to approximately 12 degrees C in one of two ways: 1) with a low threshold (30.1+/-0.6 degrees C) for activation demonstrating an increase in fluorescence with a minimal decrease in bath temperature (12.3%); 2) with a high threshold for activation (21.5+/-0.6 degrees C), demonstrating an increase in fluorescence only after a substantial decrease in bath temperature (13.3%); 74.4% did not respond to a decrease in temperature with an increase [Ca(2+)](i). These responses also were distinguishable on the basis of their rate of activation and degree of desensitization in response to prolonged application of a cold stimulus: low threshold responses were associated with a rapid (tau=12.0+/-5.7 s) increase in [Ca(2+)](i) and a time constant of desensitization of 85.8+/-20.7 s while high threshold responses were associated with a slow (tau=38.1+/-8.2 s) increase in [Ca(2+)](i) and demonstrated little desensitization over 4 min of stimulation. We refer to low threshold and high threshold cold responsive TG neurons as LT(cool) and HT(cool) neurons, respectively. LT(cool) and HT(cool) neurons were distributed among two distinct subpopulations of TG neurons distinguishable on the basis of cell body size and isolectin B4 staining. Both ENaC and TRPM8 appear to contribute to cold transduction, but neither is sufficient to account for all aspects of cold transduction in either population of TG neurons. Furthermore, inhibition of Ba(2+) and/or Gd(3+) sensitive two-pore K(+) channels (i.e. TREK-1 and TRAAK) was insufficient to account for cold transduction in HT(cool) or LT(cool) neurons. Our results suggest that cold transduction in sensory neurons is a complex process involving the activation and inhibition of several different ion channels. In addition, there appear to be both similarities and differences between mechanisms underlying cold transduction in LT(cool) and HT(cool) neurons. Identification of specific mechanisms underlying cold transduction in LT(cool) and HT(cool) neurons may enable the development of novel therapeutic interventions for the treatment of pathological conditions such as cold allodynia.
Circadian rhythm in olfactory response in the antennae controlled by the optic lobe in the cockroach.	The olfactory response in antennae of the cockroach, Leucophaea maderae, was investigated by measuring electroantennograms (EAGs) in restrained animals. The amplitude of the EAG response to pulses of ethyl acetate, octanol, or fenchone, exhibited a robust, light entrained, circadian rhythm that persisted at least 14 days in constant darkness. Dilution-response curves measured at the peak and trough of the rhythm indicated there was a 10-fold change in sensitivity. The EAG rhythm was abolished by severing the optic tracts, while entrainment was abolished by ablation of the compound eyes. The results indicate that the circadian system modulates olfactory sensitivity in the antennae and that the rhythm is driven by a circadian pacemaker in the optic lobes that is entrained by photoreceptors in the compound eyes.
Electrophysiology of sensory and sensorimotor processing in mice under general anesthesia.	Like many other complex biological phenomena, sensory processing is starting to be studied at the level of the gene. Whereas the mouse is the standard organism for molecular neurobiology, somatosensation and pain are mainly investigated in the rat. The in-vitro electrophysiological technique is well established in mice. The effect of manipulations of the mouse genome on neuronal systems and networks has to be investigated under in-vivo conditions. Thus, the step from the rat to the smaller mouse seems to be important in terms of progress in molecular neurobiology. So far, there is no published study of sensory processing by electrophysiological means in mice under controlled general anesthesia. In this paper we describe a technique for electrophysiological recordings of sensory and sensorimotor processing in anesthetized mice. The mouse is anesthetized by continuous administration of the short-acting general anesthetic methohexital sodium salt via the jugular vein and artificially ventilated via a tracheotomy. The electrocardiogram and the carotid artery blood pressure are monitored. The sensorimotor jaw-opening reflex and the hindpaw withdrawal reflex are elicited by electric stimulation of the tongue and the sole of the hindpaw, respectively. The jaw-opening reflex is inhibited by deep brain stimulation of the rostral ventromedial medulla. On- and off-cells of the rostral ventromedial medulla and sensory neurons of the spinal trigeminal nucleus are extracellularly recorded by tungsten electrodes. General anesthesia can be reliably induced, maintained and sufficiently controlled in mice. Under this condition, studies can be performed on sensory processing in mice.
Blue-on-yellow perimetry versus achromatic perimetry in type 1 diabetes patients without retinopathy.	In this study, we compared the blue-on-yellow perimetric parameters with conventional automated static threshold perimetric parameters in the detection of psychophysical abnormality in patients with type 1 diabetes mellitus (DM) without diabetic retinopathy. Forty-three patients with type 1 DM without diabetic retinopathy were included this study. Thirty subjects served as age-matched control group. Blue-on yellow perimetry was performed and the results compared to white-on-white perimetry. The values of mean deviation by blue-on-yellow perimetry in the diabetic group were significantly higher than in the control group (P=0.0001). The indices of short fluctuation, pattern standard deviation, corrected pattern standard deviation and foveal sensitivity which all relate to localized depression in sensitivity were similar in both groups. The achromatic perimetric parameters were not different between the groups. We conclude that the short-wavelength-sensitive cones are vulnerable to damage from hyperglycemia and this influence can be detected early by blue-on-yellow perimetry in diabetic patients without retinopathy.
Stochastic resonance in noisy threshold neurons.	Stochastic resonance occurs when noise improves how a nonlinear system performs. This paper presents two general stochastic-resonance theorems for threshold neurons that process noisy Bernoulli input sequences. The performance measure is Shannon mutual information. The theorems show that small amounts of independent additive noise can increase the mutual information of threshold neurons if the neurons detect subthreshold signals. The first theorem shows that this stochastic-resonance effect holds for all finite-variance noise probability density functions that obey a simple mean constraint that the user can control. A corollary shows that this stochastic-resonance effect occurs for the important family of (right-sided) gamma noise. The second theorem shows that this effect holds for all infinite-variance noise types in the broad family of stable distributions. Stable bell curves can model extremely impulsive noise environments. So the second theorem shows that this stochastic-resonance effect is robust against violent fluctuations in the additive noise process.
Tactile spatial acuity in elderly persons: assessment with grating domes and relationship with manual dexterity.	In this study, we sought to better define the limit of spatial resolution at the fingertips of elderly participants (n = 30, age 60-95 years) using an extended set of JVP grating domes, incorporating four new grating dimensions (2.5-, 3.5-, 4.0- and 4.5-mm width). A secondary aim was to examine whether deficits in tactile acuity could be related to hand dysfunction in older adults. Spatial resolution thresholds were determined by the finest grating whose orientation (dominant index finger) could be reported reliably. Manual dexterity was assessed with the Grooved Pegboard Test (GPT). The extended set of domes improved threshold measurements in a majority of participants (21/30). Still, accurate threshold estimates could not be obtained in one third of the participants, mostly in the older age group (8/9, 74-95 years). Grating resolution thresholds at the index finger were strongly correlated (r = 0.66, p<0.01) with dexterity scores derived from the GPT. From these results, we conclude that the 2.5- and 3.5-mm grating domes are suitable additions when assessing spatial acuity at the fingertips of older subjects between 60 and 70 years of age (mean threshold, 2.7+/-0.6 mm). For the older ones, the 4.0- and 4.5-mm domes can improve threshold measurements but interpretation of values can be complicated by the presence of undiagnosed pathologies (e.g., diffuse polyneuropathy) as people advance in age. The strong relationship between grating resolution thresholds and dexterity scores indicates that an impaired spatial acuity at the fingertips may translate into great difficulties in tasks requiring fine manipulations. These findings have important implications for the assessment of hand function in older adults.
